"geo","gdp_pps_pct","unemp_rate","educ_tertiary","rnd_gdp_pct","hitech_emp_pct","broadband_pct","country","region","dev_class"
"SE21",103,10.5636363636364,37.9666666666667,1.64,2.8,94.415,"SE","Smaland med ""oarna","piu_sviluppata"
"SE22",102,14.4916666666667,47.5,3.25,5.6,94.98,"SE","Sydsverige","piu_sviluppata"
"SE23",114,11.8,45.6333333333333,5.31,4.9,93.13,"SE","V""astsverige","piu_sviluppata"
"SE31",95,12.7545454545455,35.6333333333333,1.05,2,93.365,"SE","Norra Mellansverige","transizione"
"SE32",103,11.15,40.2333333333333,0.7,3.7,93.29,"SE","Mellersta Norrland","piu_sviluppata"
"SE33",126,9.1,43.3,2.51,3.6,89.125,"SE","""Ovre Norrland","piu_sviluppata"
"SI03",71,6.03333333333333,35.5,1.52,5.2,95.54,"SI","Vzhodna Slovenija","meno_sviluppata"
"SI04",106,5.14545454545455,46.0666666666667,2.59,8.5,97.64,"SI","Zahodna Slovenija","piu_sviluppata"
"SK01",158,2.6,46.5666666666667,1.52,12.5,98.07,"SK","Bratislavsk'y kraj","piu_sviluppata"
"SK02",66,4.48571428571429,23.6666666666667,0.78,3.7,94.64,"SK","Z'apadn'e Slovensko","meno_sviluppata"
"SK03",62,10.825,24.5333333333333,0.72,4.2,95.255,"SK","Stredn'e Slovensko","meno_sviluppata"
"SK04",54,29.0333333333333,27.7666666666667,0.57,4.9,93.52,"SK","V'ychodn'e Slovensko","meno_sviluppata"
